Pos;2011;2010;Title;Director;Year;Country;Mins;Genre;Colour;Amazon;IMDB;Google
465;499;455;Breakfast at Tiffany's;Edwards, Blake;1961;US;115;Romance-Drama-Comedy;Col;Amazon;IMDB;Goog
466;442;428;It's a Gift;McLeod, Norman Z.;1934;US;73;Comedy;BW;Amazon;IMDB;Goog
467;444;431;Nostalghia;Tarkovsky, Andrei;1983;Italy;120;Drama;Col;Amazon;IMDB;Goog
468;494;637;Edward Scissorhands;Burton, Tim;1990;US;100;Romance-Fantasy;Col;Amazon;IMDB;Goog
469;492;463;Videodrome;Cronenberg, David;1983;Canada;90;Horror-Science Fiction;Col;Amazon;IMDB;Goog
470;514;565;Touch of Zen, A;Hu, King;1969;Taiwan;200;Adventure-Action-Drama;Col;Amazon;IMDB;Goog
471;451;436;Three Colours: Red;Kieslowski, Krszystof;1994;France-Switzerland-Poland;99;Drama;Col;Amazon;IMDB;Goog
472;491;524;Enigma of Kaspar Hauser, The;Herzog, Werner;1974;West Germany;110;Biography-Drama;Col;Amazon;IMDB;Goog
473;399;414;All That Jazz;Fosse, Bob;1979;US;123;Musical-Fantasy-Drama;Col;Amazon;IMDB;Goog
474;520;583;Shawshank Redemption, The;Darabont, Frank;1994;US;142;Prison-Drama;Col;Amazon;IMDB;Goog
475;484;473;12 Angry Men;Lumet, Sidney;1957;US;95;Drama;BW;Amazon;IMDB;Goog
476;463;468;Affair to Remember, An;McCarey, Leo;1957;US;115;Romance-Drama;Col;Amazon;IMDB;Goog
477;485;528;Producers, The;Brooks, Mel;1968;US;88;Comedy;Col;Amazon;IMDB;Goog
478;450;425;Seven Chances;Keaton, Buster;1925;US;56;Romance-Comedy;BW;Amazon;IMDB;Goog
479;455;558;Tiger of Eschnapur, The;Lang, Fritz;1958;Germany;101;Romance-Adventure;Col;Amazon;IMDB;Goog
480;465;449;Voyage dans la lune, Le;Méliès, Georges;1902;France;14;Science Fiction-Short-Adventure;BW;Amazon;IMDB;Goog
481;489;460;Cool Hand Luke;Rosenberg, Stuart;1967;US;126;Prison-Drama;Col;Amazon;IMDB;Goog
482;453;434;Lola [1961];Demy, Jacques;1961;France;90;Romance-Drama;BW;Amazon;IMDB;Goog
483;507;453;Scarface [1932];Hawks, Howard;1932;US;90;Crime-Biography-Drama;BW;Amazon;IMDB;Goog
484;457;475;French Cancan;Renoir, Jean;1955;France;93;Musical-Drama-Comedy;Col;Amazon;IMDB;Goog
485;426;571;Fat City;Huston, John;1972;US;100;Sports;Col;Amazon;IMDB;Goog
486;459;437;Moment of Innocence, A;Makhmalbaf, Mohsen;1995;Iran-France-Switzerland;78;Drama-Comedy;Col;Amazon;IMDB;Goog
487;476;600;Fitzcarraldo;Herzog, Werner;1982;West Germany;157;Drama-Adventure;Col;Amazon;IMDB;Goog
488;461;469;Faces;Cassavetes, John;1968;US;130;Drama;BW;Amazon;IMDB;Goog
489;497;514;Midnight Run;Brest, Martin;1988;US;122;Crime-Comedy;Col;Amazon;IMDB;Goog
490;470;538;Barton Fink;Coen, Joel and Ethan Coen;1991;US;117;Drama-Comedy;Col;Amazon;IMDB;Goog
491;533;630;Juliet of the Spirits;Fellini, Federico;1965;Italy;148;Fantasy-Drama;Col;Amazon;IMDB;Goog
492;462;631;Thing from Another World, The;Nyby, Christian/Howard Hawks;1951;US;87;Science Fiction;BW;Amazon;IMDB;Goog
493;481;464;I Am Cuba;Kalatozov, Mikhail;1964;USSR-Cuba;141;Political-Drama;Col;Amazon;IMDB;Goog
494;466;429;Where is the Friend's Home?;Kiarostami, Abbas;1987;Iran;85;Drama;Col;Amazon;IMDB;Goog
495;468;502;Underground;Kusturica, Emir;1995;France-Germany-Hungary;192;War-Drama-Comedy;Col;Amazon;IMDB;Goog
496;487;508;I Walked with a Zombie;Tourneur, Jacques;1943;US;69;Horror-Drama-Romance;BW;Amazon;IMDB;Goog
497;486;482;I Was Born, But…;Ozu, Yasujiro;1932;Japan;100;Drama-Comedy;BW;Amazon;IMDB;Goog
498;504;539;Husbands;Cassavetes, John;1970;US;138;Drama;Col;Amazon;IMDB;Goog
499;469;439;Limelight;Chaplin, Charles;1952;US;145;Drama-Comedy;BW;Amazon;IMDB;Goog
500;472;443;Masculin Feminin;Godard, Jean-Luc;1966;France-Sweden;103;Drama;BW;Amazon;IMDB;Goog
501;474;513;Three Colours: Blue;Kieslowski, Krszystof;1993;France-Poland-Switzerland;100;Drama;Col;Amazon;IMDB;Goog
502;506;615;Kagemusha;Kurosawa, Akira;1980;Japan;159;War-Drama-Historical;Col;Amazon;IMDB;Goog
503;---;---;Withnail & I;Robinson, Bruce;1987;UK;105;Drama;Col;Amazon;IMDB;Goog
504;475;447;Being There;Ashby, Hal;1979;US;130;Drama-Comedy;Col;Amazon;IMDB;Goog
505;510;466;42nd Street;Bacon, Lloyd;1933;US;89;Musical-Dance-Comedy;BW;Amazon;IMDB;Goog
506;515;535;Eternal Sunshine of the Spotless Mind;Gondry, Michel;2004;US;108;Romance-Drama-Comedy;Col;Amazon;IMDB;Goog
507;479;487;Golden Coach, The;Renoir, Jean;1952;Italy-France;100;Drama-Comedy-Romance;Col;Amazon;IMDB;Goog
508;480;457;Dames du Bois de Boulogne, Les;Bresson, Robert;1945;France;85;Drama-Romance;BW;Amazon;IMDB;Goog
509;496;452;Silence, The;Bergman, Ingmar;1963;Sweden;96;Drama;BW;Amazon;IMDB;Goog
510;488;445;Lancelot du Lac;Bresson, Robert;1974;France-Italy;84;Fantasy-Drama;Col;Amazon;IMDB;Goog
511;537;522;Dirty Harry;Siegel, Don;1971;US;102;Crime-Action;Col;Amazon;IMDB;Goog
512;500;531;Odd Man Out;Reed, Carol;1947;UK;115;Drama-Crime-Thriller;BW;Amazon;IMDB;Goog
513;483;458;Terra trema, La;Visconti, Luchino;1947;Italy;160;Drama;BW;Amazon;IMDB;Goog
514;509;479;Man Who Fell to Earth, The;Roeg, Nicolas;1976;UK;140;Science Fiction-Drama;Col;Amazon;IMDB;Goog
515;521;596;Down by Law;Jarmusch, Jim;1986;US;107;Comedy;BW;Amazon;IMDB;Goog
516;522;---;Thing, The [1982];Carpenter, John;1982;US;108;Science Fiction-Action-Horror;Col;Amazon;IMDB;Goog
517;498;474;Dead Ringers;Cronenberg, David;1988;Canada;115;Thriller-Horror-Drama;Col;Amazon;IMDB;Goog
518;557;566;Get Carter;Hodges, Mike;1971;UK;112;Crime;Col;Amazon;IMDB;Goog
519;503;516;Terminator 2: Judgment Day;Cameron, James;1991;US;136;Science Fiction-Action;Col;Amazon;IMDB;Goog
520;546;540;Long Goodbye, The;Altman, Robert;1973;US;112;Drama-Crime;Col;Amazon;IMDB;Goog
521;502;505;Day the Earth Stood Still, The;Wise, Robert;1951;US;92;Science Fiction;BW;Amazon;IMDB;Goog
522;512;481;Age of Innocence, The;Scorsese, Martin;1993;US;133;Romance-Drama;Col;Amazon;IMDB;Goog
523;511;467;She Wore a Yellow Ribbon;Ford, John;1949;US;103;Western-War;Col;Amazon;IMDB;Goog
524;532;518;Two-Lane Blacktop;Hellman, Monte;1971;US;101;Drama;Col;Amazon;IMDB;Goog
525;530;511;Lolita [1962];Kubrick, Stanley;1962;UK;152;Drama;BW;Amazon;IMDB;Goog
526;518;470;Detour;Ulmer, Edgar G.;1945;US;69;Crime;BW;Amazon;IMDB;Goog
527;505;461;They Were Expendable;Ford, John;1945;US;135;War-Drama;BW;Amazon;IMDB;Goog
528;517;486;Olympia;Riefenstahl, Leni;1938;Germany;220;Documentary-Sports;BW;Amazon;IMDB;Goog
529;672;769;Eyes Wide Shut;Kubrick, Stanley;1999;US-UK;159;Thriller-Drama;Col;Amazon;IMDB;Goog
530;513;512;Reds;Beatty, Warren;1981;US;200;Historical-Drama-Biography;Col;Amazon;IMDB;Goog
531;550;551;Jour se lève, Le;Carné, Marcel;1939;France;93;Thriller-Crime-Drama;BW;Amazon;IMDB;Goog
532;551;515;On the Town;Donen, Stanley/Gene Kelly;1949;US;98;Musical-Dance;Col;Amazon;IMDB;Goog
533;516;498;À nous la liberté;Clair, René;1931;France;97;Comedy-Fantasy;BW;Amazon;IMDB;Goog
534;594;654;Trainspotting;Boyle, Danny;1995;UK;95;Drama-Comedy;Col;Amazon;IMDB;Goog
535;579;532;Forrest Gump;Zemeckis, Robert;1994;US;142;Drama-Comedy;Col;Amazon;IMDB;Goog
536;519;483;That Obscure Object of Desire;Buñuel, Luis;1977;France-Spain;103;Drama;Col;Amazon;IMDB;Goog
537;538;---;Tenant, The;Polanski, Roman;1976;France-US;125;Horror-Thriller-Mystery;Col;Amazon;IMDB;Goog
538;539;740;Great Escape, The;Sturges, John;1963;US;168;War-Prison-Adventure;Col;Amazon;IMDB;Goog
539;543;519;Bitter Tears of Petra von Kant, The;Fassbinder, Rainer Werner;1972;Germany;119;Drama;Col;Amazon;IMDB;Goog
540;523;477;Fellini's Casanova;Fellini, Federico;1976;Italy;158;Drama-Biography;Col;Amazon;IMDB;Goog
541;524;456;Place in the Sun, A;Stevens, George;1951;US;122;Romance-Drama;BW;Amazon;IMDB;Goog
542;525;478;Teorema;Pasolini, Pier Paolo;1968;Italy;98;Drama;Col;Amazon;IMDB;Goog
543;553;548;Alphaville;Godard, Jean-Luc;1965;France;95;Science Fiction;BW;Amazon;IMDB;Goog
544;544;527;Antonio das Mortes;Rocha, Glauber;1969;Brazil;95;Drama-Western-Political;Col;Amazon;IMDB;Goog
545;526;655;Othello;Welles, Orson;1952;Italy;92;Drama;BW;Amazon;IMDB;Goog
546;558;546;Killer, The;Woo, John;1989;Hong Kong;110;Thriller-Crime-Action;Col;Amazon;IMDB;Goog
547;549;556;Seven Women;Ford, John;1966;US;87;Historical-Drama;Col;Amazon;IMDB;Goog
548;562;549;Ride the High Country;Peckinpah, Sam;1962;US;94;Western;Col;Amazon;IMDB;Goog
549;527;493;Damned, The;Visconti, Luchino;1969;Italy-West Germany;155;War-Drama;Col;Amazon;IMDB;Goog
550;578;595;Salesman;Maysles, Albert/David Maysles/Charlotte Zwerin;1968;US;85;Documentary;BW;Amazon;IMDB;Goog
551;623;585;Tin Drum, The;Schlöndorff, Volker;1979;Germany;142;War-Drama;Col;Amazon;IMDB;Goog
552;536;523;Boogie Nights;Anderson, Paul Thomas;1997;US;155;Drama;Col;Amazon;IMDB;Goog
553;531;554;Cleo from 5 to 7;Varda, Agnès;1961;France;90;Drama;BW;Amazon;IMDB;Goog
554;552;500;Devils, The;Russell, Ken;1971;UK;109;Historical-Drama-Horror;Col;Amazon;IMDB;Goog
555;608;553;Picnic at Hanging Rock;Weir, Peter;1975;Australia;110;Mystery-Drama;Col;Amazon;IMDB;Goog
556;566;619;Outlaw Josey Wales, The;Eastwood, Clint;1976;US;135;Western-Drama;Col;Amazon;IMDB;Goog
557;534;485;Blow Out;De Palma, Brian;1981;US;107;Thriller-Mystery;Col;Amazon;IMDB;Goog
558;564;574;Die Hard;McTiernan, John;1988;US;131;Thriller-Action;Col;Amazon;IMDB;Goog
559;471;432;Red Balloon, The;Lamorisse, Albert;1956;France;34;Fantasy-Family-Short;BW;Amazon;IMDB;Goog
560;563;509;Marriage of Maria Braun, The;Fassbinder, Rainer Werner;1978;Germany;120;War-Drama;Col;Amazon;IMDB;Goog
561;606;550;Fight Club;Fincher, David;1999;US-Germany;139;Drama-Comedy;Col;Amazon;IMDB;Goog
562;541;560;Time of the Gypsies;Kusturica, Emir;1989;Yugoslavia;142;Drama;Col;Amazon;IMDB;Goog
563;542;582;Bob le flambeur;Melville, Jean-Pierre;1955;France;102;Crime;BW;Amazon;IMDB;Goog
564;575;557;Party, The;Edwards, Blake;1968;US;99;Comedy;Col;Amazon;IMDB;Goog
565;587;579;Pépé le Moko;Duvivier, Julien;1936;France;93;Romance-Drama-Crime;BW;Amazon;IMDB;Goog
566;545;506;And Life Goes On…;Kiarostami, Abbas;1992;Iran;108;Drama-Documentary;Col;Amazon;IMDB;Goog
567;577;627;Fly, The [1986];Cronenberg, David;1986;US;100;Horror;Col;Amazon;IMDB;Goog
568;723;891;War and Peace [1967];Bondarchuk, Sergei;1967;Russia;357;War-Historical-Drama;Col;Amazon;IMDB;Goog
569;561;576;Bambi;Hand, David;1942;US;69;Family-Animated-Drama;Col;Amazon;IMDB;Goog
570;576;530;Pat Garrett and Billy the Kid;Peckinpah, Sam;1973;US;122;Western;Col;Amazon;IMDB;Goog
571;560;589;Hour of the Furnaces, The;Getino, Octavio & Fernando E. Solanas;1968;Argentina;113;Political-Drama;BW;Amazon;IMDB;Goog
572;548;492;Shadows of Our Forgotten Ancestors;Parajanov, Sergei;1964;USSR;95;Romance-Drama-Historical;Col;Amazon;IMDB;Goog
573;583;575;Young Frankenstein;Brooks, Mel;1974;US;105;Horror-Comedy-Science Fiction;BW;Amazon;IMDB;Goog
574;599;559;Barren Lives;Dos Santos, Nelson Pereira;1963;Brazil;135;Drama;BW;Amazon;IMDB;Goog
575;554;503;Devil is a Woman, The;von Sternberg, Josef;1935;US;83;Romance-Drama;BW;Amazon;IMDB;Goog
576;568;536;Diaboliques, Les;Clouzot, Henri-Georges;1955;France;114;Thriller-Mystery;BW;Amazon;IMDB;Goog
577;572;541;Beyond the Valley of the Dolls;Meyer, Russ;1970;US;109;Drama-Comedy;Col;Amazon;IMDB;Goog
578;590;691;French Connection, The;Friedkin, William;1971;US;104;Crime;Col;Amazon;IMDB;Goog
579;555;544;Blood of a Poet, The;Cocteau, Jean;1930;France;58;Fantasy-Drama;BW;Amazon;IMDB;Goog
580;490;---;Angel at My Table, An;Campion, Jane;1990;New Zealand;158;Drama-Biography;Col;Amazon;IMDB;Goog
581;556;526;Barefoot Contessa, The;Mankiewicz, Joseph L.;1954;US;128;Drama;Col;Amazon;IMDB;Goog
582;559;520;Stromboli;Rossellini, Roberto;1949;Italy;107;Drama;BW;Amazon;IMDB;Goog
583;601;568;Cranes Are Flying, The;Kalatozov, Mikhail;1957;USSR;94;War-Romance-Drama;BW;Amazon;IMDB;Goog
584;580;573;M*A*S*H;Altman, Robert;1970;US;116;War-Comedy;Col;Amazon;IMDB;Goog
585;581;773;Lives of Others, The;von Donnersmarck, Florian Henckel;2006;Germany;138;Drama;Col;Amazon;IMDB;Goog
586;582;607;Xala;Sembene, Ousmane;1974;Senegal;123;Comedy;Col;Amazon;IMDB;Goog
587;565;563;Passion;Godard, Jean-Luc;1982;France-Switzerland;87;Drama;Col;Amazon;IMDB;Goog
588;604;741;Excalibur;Boorman, John;1981;UK;140;Fantasy-Adventure-Action;Col;Amazon;IMDB;Goog
589;567;529;Young Mr. Lincoln;Ford, John;1939;US;100;Political-Biography-Drama;BW;Amazon;IMDB;Goog
590;588;547;Ossessione;Visconti, Luchino;1942;Italy;140;Drama;BW;Amazon;IMDB;Goog
591;598;620;City of God;Meirelles, Fernando;2002;Brazil-Germany-France;129;Drama-Crime-Action;Col;Amazon;IMDB;Goog
592;569;521;Bigger Than Life;Ray, Nicholas;1956;US;95;Drama;Col;Amazon;IMDB;Goog
593;570;592;Région centrale, La;Snow, Michael;1971;Canada;180;Avant-Garde;Col;Amazon;IMDB;Goog
594;571;525;Story of a Cheat, The;Guitry, Sacha;1936;France;85;Comedy;BW;Amazon;IMDB;Goog
595;593;545;Through the Olive Trees;Kiarostami, Abbas;1994;Iran;103;Drama;Col;Amazon;IMDB;Goog
596;573;542;Chant d'amour, Un;Genet, Jean;1950;France;26;Drama;BW;Amazon;IMDB;Goog
597;621;594;Short Cuts;Altman, Robert;1993;US;189;Drama;Col;Amazon;IMDB;Goog
598;595;543;Mildred Pierce;Curtiz, Michael;1945;US;109;Drama;BW;Amazon;IMDB;Goog
599;643;785;There Will Be Blood;Anderson, Paul Thomas;2007;US;158;Drama;Col;Amazon;IMDB;Goog
600;610;603;East of Eden;Kazan, Elia;1955;US;115;Drama;Col;Amazon;IMDB;Goog
601;589;569;Liebelei;Ophüls, Max;1932;Germany;88;Romance-Drama;BW;Amazon;IMDB;Goog
602;597;591;Ivan's Childhood;Tarkovsky, Andrei;1962;USSR;94;War-Drama;BW;Amazon;IMDB;Goog
603;668;---;Titicut Follies;Wiseman, Frederick;1967;US;87;Documentary;BW;Amazon;IMDB;Goog
604;617;593;Heaven's Gate;Cimino, Michael;1980;US;219;Western-Drama-Historical;Col;Amazon;IMDB;Goog
605;620;599;Funny Face;Donen, Stanley;1957;US;103;Musical-Dance;Col;Amazon;IMDB;Goog
606;574;501;Scarface [1983];De Palma, Brian;1983;US;170;Drama-Crime;Col;Amazon;IMDB;Goog
607;619;567;Now, Voyager;Rapper, Irving;1942;US;117;Romance-Drama;BW;Amazon;IMDB;Goog
608;605;597;They Live by Night;Ray, Nicholas;1948;US;95;Drama-Crime;BW;Amazon;IMDB;Goog
609;584;534;Wild Child, The;Truffaut, François;1969;France;85;Drama;BW;Amazon;IMDB;Goog
610;585;768;Miller's Crossing;Coen, Joel and Ethan Coen;1990;US;115;Crime;Col;Amazon;IMDB;Goog
611;625;651;Wagon Master;Ford, John;1950;US;86;Western;BW;Amazon;IMDB;Goog
612;586;577;Van Gogh;Pialat, Maurice;1991;France;155;Drama-Biography;Col;Amazon;IMDB;Goog
613;648;719;Gregory's Girl;Forsyth, Bill;1980;UK;91;Romance-Comedy;Col;Amazon;IMDB;Goog
614;611;618;Hitler: A Film from Germany;Syberberg, Hans-Jürgen;1977;West Germany;420;Drama-Avant Garde;Col;Amazon;IMDB;Goog
615;664;664;Walkabout;Roeg, Nicolas;1971;Australia;95;Drama-Adventure;Col;Amazon;IMDB;Goog
616;613;562;America, America;Kazan, Elia;1963;US;168;Drama;BW;Amazon;IMDB;Goog
617;591;537;Circus, The;Chaplin, Charles;1928;US;72;Drama-Comedy-Family;BW;Amazon;IMDB;Goog
618;709;674;Naked;Leigh, Mike;1993;UK;126;Drama;Col;Amazon;IMDB;Goog
619;592;610;Princess Yang Kwei Fei;Mizoguchi, Kenji;1955;Japan-Hong Kong;98;Romance-Drama-Historical;Col;Amazon;IMDB;Goog
620;---;---;Swing Time;Stevens, George;1936;US;103;Romance-Musical-Dance;BW;Amazon;IMDB;Goog
621;657;670;Hallelujah!;Vidor, King;1929;US;106;Musical-Drama;BW;Amazon;IMDB;Goog
622;596;580;Bad and the Beautiful, The;Minnelli, Vincente;1952;US;118;Drama;BW;Amazon;IMDB;Goog
623;714;795;Blues Brothers, The;Landis, John;1980;US;130;Action-Comedy-Musical;Col;Amazon;IMDB;Goog
624;630;650;Woman in the Dunes;Teshigahara, Hiroshi;1964;Japan;127;Drama;BW;Amazon;IMDB;Goog
625;616;581;Holiday;Cukor, George;1938;US;93;Comedy;BW;Amazon;IMDB;Goog
626;618;617;Farewell, My Concubine;Chen Kaige;1993;Hong Kong-China;155;Historical-Drama-Romance;Col;Amazon;IMDB;Goog
627;639;657;Matrix, The;Wachowski, Andy & Larry Wachowski;1999;US-Australia;136;Science Fiction-Action;Col;Amazon;IMDB;Goog
628;600;624;Tarnished Angels, The;Sirk, Douglas;1958;US;91;Drama;BW;Amazon;IMDB;Goog
629;642;606;American in Paris, An;Minnelli, Vincente;1951;US;115;Musical-Dance;Col;Amazon;IMDB;Goog
630;493;---;Forbidden Planet;Wilcox, Fred M.;1956;US;98;Science Fiction;Col;Amazon;IMDB;Goog
631;602;572;Que viva Mexico!;Eisenstein, Sergei;1932;Mexico-US;85;Historical;BW;Amazon;IMDB;Goog
632;646;660;Thin Red Line, The;Malick, Terrence;1998;US;170;War-Drama-Action;Col;Amazon;IMDB;Goog
633;603;608;Beau travail;Denis, Claire;1998;France;93;Drama;Col;Amazon;IMDB;Goog
634;669;641;Grey Gardens;Maysles, David/Albert Maysles/Ellen Hovde/Muffie Meyer;1975;US;95;Documentary-Comedy;Col;Amazon;IMDB;Goog
635;626;642;Elephant Man, The;Lynch, David;1980;US;125;Drama-Biography;BW;Amazon;IMDB;Goog
636;622;570;Duel in the Sun;Vidor, King;1946;US;130;Western;Col;Amazon;IMDB;Goog
637;650;721;Crouching Tiger, Hidden Dragon;Lee, Ang;2000;China-Taiwan-US;120;Drama-Adventure-Action;Col;Amazon;IMDB;Goog
638;652;648;Roman Holiday;Wyler, William;1953;US;119;Romance-Comedy-Drama;BW;Amazon;IMDB;Goog
639;680;638;Fires Were Started;Jennings, Humphrey;1943;UK;80;Documentary-Drama;BW;Amazon;IMDB;Goog
640;607;552;Outskirts [1933];Barnet, Boris;1933;USSR;98;War-Drama;BW;Amazon;IMDB;Goog
641;609;602;Diner;Levinson, Barry;1982;US;110;Drama-Comedy;Col;Amazon;IMDB;Goog
642;653;697;Rushmore;Anderson, Wes;1998;US;93;Comedy;Col;Amazon;IMDB;Goog
643;627;604;Land Without Bread;Buñuel, Luis;1932;Spain;28;Documentary-Short-Drama;BW;Amazon;IMDB;Goog
644;631;652;Morocco;von Sternberg, Josef;1930;US;92;War-Romance-Drama;BW;Amazon;IMDB;Goog
645;612;588;Sauve qui peut (la vie);Godard, Jean-Luc;1980;France-Switzerland;87;Drama;Col;Amazon;IMDB;Goog
646;655;753;Talk to Her;Almodóvar, Pedro;2002;Spain;112;Romance-Drama;Col;Amazon;IMDB;Goog
647;634;586;Sawdust and Tinsel;Bergman, Ingmar;1953;Sweden;92;Drama;BW;Amazon;IMDB;Goog
648;614;614;Smiles of a Summer Night;Bergman, Ingmar;1955;Sweden;108;Romance-Comedy;BW;Amazon;IMDB;Goog
649;---;---;Secrets & Lies;Leigh, Mike;1995;UK;142;Drama-Comedy;Col;Amazon;IMDB;Goog
650;615;598;Storm Over Asia;Pudovkin, Vsevolod;1928;Russia;93;Historical-Drama-Action;BW;Amazon;IMDB;Goog
651;688;696;Sorrow and the Pity, The;Ophüls, Marcel;1970;France-Switzerland-Germany;260;Documentary-War-Historical;BW;Amazon;IMDB;Goog
652;624;677;Shock Corridor;Fuller, Sam;1963;US;101;Drama-Mystery;BW;Amazon;IMDB;Goog
653;635;695;Dr. Mabuse, The Gambler;Lang, Fritz;1922;Germany;270;Thriller-Mystery-Crime;BW;Amazon;IMDB;Goog
654;659;658;Threepenny Opera, The;Pabst, G.W.;1931;Germany;112;Opera-Musical-Comedy;BW;Amazon;IMDB;Goog
655;633;584;Phantom of Liberty, The;Buñuel, Luis;1974;France;104;Drama-Comedy-Avant Garde;Col;Amazon;IMDB;Goog
656;647;626;Blood Simple;Coen, Joel and Ethan Coen;1984;US;97;Thriller-Drama-Crime;Col;Amazon;IMDB;Goog
657;636;611;End of Summer, The;Ozu, Yasujiro;1961;Japan;103;Drama;Col-BW;Amazon;IMDB;Goog
658;628;578;Hart of London, The;Chambers, Jack;1970;Canada;80;Avant-Garde;Col-BW;Amazon;IMDB;Goog
659;629;625;Woman Next Door, The;Truffaut, François;1981;France;106;Romance-Drama;Col;Amazon;IMDB;Goog
660;681;678;All About My Mother;Almodóvar, Pedro;1999;Spain-France;101;Drama-Comedy;Col;Amazon;IMDB;Goog
661;717;709;Donnie Darko;Kelly, Richard;2001;US;112;Fantasy-Drama;Col;Amazon;IMDB;Goog
662;632;834;Chienne, La;Renoir, Jean;1931;France;95;Drama;BW;Amazon;IMDB;Goog
663;724;756;Thin Blue Line, The;Morris, Errol;1988;US;96;Documentary;Col;Amazon;IMDB;Goog
664;658;646;Mother [1926];Pudovkin, Vsevolod;1926;USSR;70;Drama;BW;Amazon;IMDB;Goog
665;660;632;Gentlemen Prefer Blondes;Hawks, Howard;1953;US;91;Romance-Musical-Comedy;Col;Amazon;IMDB;Goog
666;637;601;Splendor in the Grass;Kazan, Elia;1961;US;124;Drama;Col;Amazon;IMDB;Goog
667;638;590;Verdict, The [1982];Lumet, Sidney;1982;US;129;Drama;Col;Amazon;IMDB;Goog
668;743;681;Fallen Idol, The;Reed, Carol;1948;UK;94;Thriller-Drama;BW;Amazon;IMDB;Goog
669;640;634;Boudu Saved from Drowning;Renoir, Jean;1932;France;87;Comedy;BW;Amazon;IMDB;Goog
670;686;717;Pickup on South Street;Fuller, Sam;1953;US;80;Spy-Crime;BW;Amazon;IMDB;Goog
671;661;612;Man of the West;Mann, Anthony;1958;US;100;Western;Col;Amazon;IMDB;Goog
672;641;702;Big Deal on Madonna Street;Monicelli, Mario;1958;Italy;91;Crime-Comedy;BW;Amazon;IMDB;Goog
673;679;628;Carnival in Flanders;Feyder, Jacques;1935;France;95;Romance-Historical-Comedy;BW;Amazon;IMDB;Goog
674;644;621;Amants du Pont-Neuf, Les;Carax, Lèos;1991;France;126;Drama;Col;Amazon;IMDB;Goog
675;645;710;Histoire(s) du  cinéma;Godard, Jean-Luc;1998;France;265;Documentary;Col-BW;Amazon;IMDB;Goog
676;671;686;Belle noiseuse, La;Rivette, Jacques;1991;France;240;Drama;Col;Amazon;IMDB;Goog
677;676;633;Godfather Part III, The;Coppola, Francis;1990;US;161;Drama-Crime;Col;Amazon;IMDB;Goog
678;694;712;Princess Bride, The;Reiner, Rob;1987;US;98;Comedy-Family-Adventure;Col;Amazon;IMDB;Goog
679;678;781;Magnolia;Anderson, Paul Thomas;1999;US;188;Drama;Col-BW;Amazon;IMDB;Goog
680;649;622;Ghost and Mrs. Muir, The;Mankiewicz, Joseph L.;1947;US;104;Romance-Fantasy;BW;Amazon;IMDB;Goog
681;651;810;Shanghai Gesture, The;von Sternberg, Josef;1941;US;98;Crime-Drama;BW;Amazon;IMDB;Goog
682;698;723;Wind Will Carry Us, The;Kiarostami, Abbas;1999;France-Iran;118;Drama;Col;Amazon;IMDB;Goog
683;702;665;National Lampoon's Animal House;Landis, John;1978;US;109;Comedy;Col;Amazon;IMDB;Goog
684;667;640;Heimat [TV];Reitz, Edgar;1984;Germany;940;Drama;Col-BW;Amazon;IMDB;Goog
685;654;605;Unfaithfully Yours [1948];Sturges, Preston;1948;US;105;Comedy;BW;Amazon;IMDB;Goog
686;689;704;Royal Tenenbaums, The;Anderson, Wes;2001;US;109;Drama-Comedy;Col;Amazon;IMDB;Goog
687;656;609;Angel [1937];Lubitsch, Ernst;1937;US;91;Drama-Comedy-Romance;BW;Amazon;IMDB;Goog
688;706;662;Gimme Shelter;Maysles, Albert/David Maysles/Charlotte Zwerin;1970;US;91;Documentary-Musical-Historical;Col;Amazon;IMDB;Goog
689;662;613;Daisies;Chytilová, Vera;1966;Czechoslovakia;76;Drama-Comedy-Avant Garde;Col-BW;Amazon;IMDB;Goog
690;683;635;Gilda;Vidor, Charles;1946;US;110;Thriller-Drama;BW;Amazon;IMDB;Goog
691;704;714;Red Beard;Kurosawa, Akira;1965;Japan;185;Drama;BW;Amazon;IMDB;Goog
692;---;---;Vengeance is Mine;Imamura, Shohei;1979;Japan;129;Thriller-Crime-Drama;Col;Amazon;IMDB;Goog
693;663;750;Trial, The;Welles, Orson;1963;France-Germany-Italy;118;Drama-Fantasy-Thriller;BW;Amazon;IMDB;Goog
694;665;616;Ludwig;Visconti, Luchino;1973;France-Germany-Italy;173;Drama-Biography-Historical;Col;Amazon;IMDB;Goog
695;772;745;Naked Spur, The;Mann, Anthony;1953;US;91;Western;Col;Amazon;IMDB;Goog
696;666;644;Anatahan;von Sternberg, Josef;1953;Japan;90;War-Drama;BW;Amazon;IMDB;Goog
697;682;659;Chronicle of Anna Magdalena Bach, The;Straub, Jean-Marie;1968;West Germany-Italy;94;Drama-Historical-Musical;BW;Amazon;IMDB;Goog
698;693;742;Private Life of Sherlock Holmes, The;Wilder, Billy;1970;US;125;Mystery-Comedy-Drama;Col;Amazon;IMDB;Goog
699;670;679;Green Ray, The;Rohmer, Eric;1986;France;96;Romance-Drama;BW;Amazon;IMDB;Goog
700;722;689;Usual Suspects, The;Singer, Bryan;1995;US;105;Thriller-Mystery-Crime;Col;Amazon;IMDB;Goog
701;673;629;Hôtel Terminus;Ophüls, Marcel;1987;US;267;Documentary-Historical-War;Col;Amazon;IMDB;Goog
