Pos;2011;2010;Title;Director;Year;Country;Mins;Genre;Colour;Amazon;IMDB;Google
110;110;109;Lady Eve, The;Sturges, Preston;1941;US;94;Romance-Comedy;BW;Amazon;IMDB;Goog
111;118;114;Manhattan;Allen, Woody;1979;US;96;Romance-Comedy;BW;Amazon;IMDB;Goog
112;111;111;Gertrud;Dreyer, Carl;1964;Denmark;116;Drama;BW;Amazon;IMDB;Goog
113;117;137;Shining, The;Kubrick, Stanley;1980;US;142;Horror;Col;Amazon;IMDB;Goog
114;115;127;Mean Streets;Scorsese, Martin;1973;US;110;Drama-Crime;Col;Amazon;IMDB;Goog
115;113;113;Olvidados, Los;Buñuel, Luis;1950;Mexico;88;Drama-Crime;BW;Amazon;IMDB;Goog
116;123;130;Pulp Fiction;Tarantino, Quentin;1994;US;154;Drama-Crime-Comedy;Col;Amazon;IMDB;Goog
117;112;112;Stalker;Tarkovsky, Andrei;1979;USSR;160;Science Fiction-Mystery;Col-BW;Amazon;IMDB;Goog
118;119;121;Out of the Past;Tourneur, Jacques;1947;US;97;Thriller-Mystery-Crime;BW;Amazon;IMDB;Goog
119;114;122;E.T. The Extra-Terrestrial;Spielberg, Steven;1982;US;115;Science Fiction-Family;Col;Amazon;IMDB;Goog
120;116;116;Ran;Kurosawa, Akira;1985;France-Japan;161;War-Historical-Drama;Col;Amazon;IMDB;Goog
121;120;124;McCabe & Mrs. Miller;Altman, Robert;1971;US;121;Western-Drama;Col;Amazon;IMDB;Goog
122;132;149;One Flew Over the Cuckoo's Nest;Forman, Milos;1975;US;133;Drama;Col;Amazon;IMDB;Goog
123;124;118;Paisan;Rossellini, Roberto;1946;Italy;120;War-Drama;BW;Amazon;IMDB;Goog
124;121;129;Grapes of Wrath, The;Ford, John;1940;US;129;Drama;BW;Amazon;IMDB;Goog
125;137;138;Matter of Life and Death, A;Powell, Michael/Emeric Pressburger;1946;UK;104;Romance-Fantasy-Comedy;Col;Amazon;IMDB;Goog
126;125;119;Broken Blossoms;Griffith, D.W.;1919;US;90;Romance-Drama;BW;Amazon;IMDB;Goog
127;147;143;Don't Look Now;Roeg, Nicolas;1973;UK;110;Mystery-Thriller;Col;Amazon;IMDB;Goog
128;134;133;Birth of a Nation, The;Griffith, D.W.;1915;US;187;War-Historical-Drama;BW;Amazon;IMDB;Goog
129;127;117;Exterminating Angel, The;Buñuel, Luis;1962;Mexico;95;Drama-Fantasy-Mystery;BW;Amazon;IMDB;Goog
130;126;126;Ashes and Diamonds;Wajda, Andrzej;1958;Poland;96;War-Drama-Political;BW;Amazon;IMDB;Goog
131;130;141;Best Years of Our Lives, The;Wyler, William;1946;US;172;War-Drama;BW;Amazon;IMDB;Goog
132;129;115;Sherlock Jr.;Keaton, Buster;1924;US;44;Fantasy-Comedy;BW;Amazon;IMDB;Goog
133;122;120;Treasure of the Sierra Madre, The;Huston, John;1948;US;124;Adventure-Drama-Western;BW;Amazon;IMDB;Goog
134;128;139;Close Encounters of the Third Kind;Spielberg, Steven;1977;US;135;Science Fiction-Adventure;Col;Amazon;IMDB;Goog
135;138;132;Red Shoes, The;Powell, Michael/Emeric Pressburger;1948;UK;133;Dance-Musical-Drama;Col;Amazon;IMDB;Goog
136;133;125;Vivre sa vie;Godard, Jean-Luc;1963;France;85;Drama;BW;Amazon;IMDB;Goog
137;131;123;Umberto D.;De Sica, Vittorio;1952;Italy;89;Drama;BW;Amazon;IMDB;Goog
138;152;140;Life and Death of Colonel Blimp, The;Powell, Michael/Emeric Pressburger;1943;UK;163;War-Drama;Col;Amazon;IMDB;Goog
139;158;163;Brazil;Gilliam, Terry;1985;UK;131;Science Fiction-Fantasy;Col;Amazon;IMDB;Goog
140;136;128;Sullivan's Travels;Sturges, Preston;1941;US;91;Romance-Comedy;BW;Amazon;IMDB;Goog
141;141;154;Days of Heaven;Malick, Terrence;1978;US;95;Romance-Drama;Col;Amazon;IMDB;Goog
142;153;147;Brief Encounter;Lean, David;1945;UK;85;Romance-Drama;BW;Amazon;IMDB;Goog
